date,trackingErrorBps
2020-04-06,397.8051359100785
2020-04-07,403.4427743240283
2020-04-08,404.30464862250136
2020-04-09,407.73598267183576
2020-04-13,408.7157405104031
2020-04-14,408.67287058964934
2020-04-15,408.64536857598733
2020-04-16,412.8757761637073
2020-04-17,416.6794875124214
2020-04-20,419.1583331874857
2020-04-21,428.73439629026495
2020-04-22,516.7720344902654
2020-04-23,516.7043279919059
2020-04-24,517.6291237157072
2020-04-27,528.9508934138937
2020-04-28,529.4269121921782
2020-04-29,529.5088898201484
2020-04-30,530.2332020230081
2020-05-01,530.9110294337892
2020-05-04,531.3087372289683
2020-05-05,531.3259297955101
2020-05-06,532.0654504590107
2020-05-07,532.8695955311483
2020-05-08,532.9094745861997
2020-05-11,533.1210642121792
2020-05-12,532.9245840917727
2020-05-13,532.8413397744227
2020-05-14,533.672171070028
2020-05-15,535.734729886628
2020-05-18,537.3964893376334
2020-05-19,537.6462655370101
2020-05-20,537.6960635697537
2020-05-21,547.2295045038765
2020-05-22,547.888839071115
2020-05-26,547.5991346718354
2020-05-27,547.7752822443648
2020-05-28,547.4664845852889
2020-05-29,547.5897855446938
2020-06-01,547.7128633763609
2020-06-02,547.8981508520945
2020-06-03,547.7540373380159
2020-06-04,547.817299808764
2020-06-05,548.0719447925704
2020-06-08,548.8766244466707
2020-06-09,548.7524124345929
2020-06-10,550.4357748987456
2020-06-11,550.9392930080306
2020-06-12,551.3773631004129
2020-06-15,551.0432643651275
2020-06-16,550.6772711456048
2020-06-17,550.5887774774732
2020-06-18,550.5951990722345
2020-06-19,551.5788995661603
2020-06-22,551.5092140209116
2020-06-23,551.5128831169367
2020-06-24,551.3405719956802
2020-06-25,551.169899056588
2020-06-26,551.3386850051892
2020-06-29,551.3929108538578
2020-06-30,551.4937110741378
2020-07-01,551.5587292480615
2020-07-02,551.336309380468
2020-07-06,551.3353538646664
2020-07-07,551.0329574074635
2020-07-08,551.0727354361279
2020-07-09,551.0702724162477
2020-07-10,551.1614365589279
2020-07-13,551.9065494222888
2020-07-14,551.9666286298402
2020-07-15,552.0360254273555
2020-07-16,552.0389333635403
2020-07-17,552.2311443529319
2020-07-20,552.0993100023123
2020-07-21,552.0527374623961
2020-07-22,553.1607352864072
2020-07-23,553.1883675613244
2020-07-24,553.1968526327734
2020-07-27,553.5157173244523
2020-07-28,553.5591416014089
2020-07-29,553.512281101747
2020-07-30,553.6798812141515
2020-07-31,553.151372847697
2020-08-03,553.2189951565321
2020-08-04,553.8167121647979
2020-08-05,553.7613158522717
2020-08-06,553.8846965022555
2020-08-07,553.8152055524815
2020-08-10,553.8067510079404
2020-08-11,554.3290230719703
2020-08-12,554.4769316479313
2020-08-13,555.0527754394241
2020-08-14,555.044454644123
2020-08-17,555.1652054689424
2020-08-18,555.3330740657307
2020-08-19,555.3311590371077
2020-08-20,555.3161314469553
2020-08-21,555.0149936585299
2020-08-24,554.9194752074454
2020-08-25,554.9492563871045
2020-08-26,554.9346742952015
2020-08-27,555.6711658671055
2020-08-28,555.1284930077225
2020-08-31,555.0700123856277
2020-09-01,554.8282266599571
2020-09-02,555.2532554486636
2020-09-03,555.2271151868889
2020-09-04,555.2362500962148
2020-09-08,555.234546736503
2020-09-09,555.2194847109052
2020-09-10,555.3730696656957
2020-09-11,555.4932210670606
2020-09-14,555.0041149997934
2020-09-15,555.0758127516485
2020-09-16,554.8665212455377
2020-09-17,554.655519002706
2020-09-18,554.3660683028295
2020-09-21,554.3726559031575
2020-09-22,554.4013550985043
2020-09-23,554.4492005394841
2020-09-24,554.6950054604209
2020-09-25,555.0832839729127
2020-09-28,555.0821940319363
2020-09-29,554.4173010549904
2020-09-30,554.4547783537456
2020-10-01,554.5468730684751
2020-10-02,554.5133851126059
2020-10-05,554.5307266460561
2020-10-06,554.5199035152472
2020-10-07,554.5308596710893
2020-10-08,554.3358443030373
2020-10-09,554.6159045603212
2020-10-12,554.6949884613118
2020-10-13,554.5955039324674
2020-10-14,554.5429827535901
2020-10-15,554.5162736675517
2020-10-16,554.4787542735017
2020-10-19,554.4855645148183
2020-10-20,554.388135214181
2020-10-21,554.6115027400057
2020-10-22,554.7643993578984
2020-10-23,555.005139383727
2020-10-26,555.0631419062919
2020-10-27,554.8720226746836
2020-10-28,554.8731093308838
2020-10-29,554.7496012836131
2020-10-30,554.6767218334708
2020-11-02,555.1425192389146
2020-11-03,554.7774633562218
2020-11-04,554.9874954697746
2020-11-05,554.9848631412091
2020-11-06,555.0068654685946
2020-11-09,554.9691535264221
2020-11-10,555.1045858524064
2020-11-11,555.3143946815005
2020-11-12,555.3258555985667
2020-11-13,555.1543477572427
2020-11-16,555.144816142428
2020-11-17,555.0215127761217
2020-11-18,555.0524329298436
2020-11-19,555.046310941771
2020-11-20,555.067255748555
2020-11-23,555.0743244230657
2020-11-24,555.0803706124132
2020-11-25,555.1380934717265
2020-11-27,555.1516168301756
2020-11-30,554.1074336549443
2020-12-01,554.2406174363546
2020-12-02,554.4054327173287
2020-12-03,554.4522607050476
2020-12-04,554.4835511281811
2020-12-07,554.7156375191648
2020-12-08,554.6060135770288
2020-12-09,555.017375746444
2020-12-10,554.9513661165963
2020-12-11,554.9661531465415
2020-12-14,555.1424184527328
2020-12-15,555.1484034300435
2020-12-16,555.1934921580778
2020-12-17,555.2715949333568
2020-12-18,555.2358868818535
2020-12-21,555.3863346294529
2020-12-22,555.3350814163259
2020-12-23,555.310703319217
2020-12-24,555.1852790097063
2020-12-28,554.7009469497533
2020-12-29,554.6765533507478
2020-12-30,554.6572835598371
2020-12-31,554.6743898899342
2021-01-04,554.3603497263548
2021-01-05,555.0835782608027
2021-01-06,555.0781122315842
2021-01-07,555.7538008806814
2021-01-08,556.2945786795982
2021-01-11,556.8387584640801
2021-01-12,556.9777154306795
2021-01-13,557.3996114312333
2021-01-14,557.384355968553
2021-01-15,557.5108625073099
2021-01-19,557.6112292266458
2021-01-20,557.6083368965368
2021-01-21,557.2867904174078
2021-01-22,557.0809918033226
2021-01-25,557.3016846299033
2021-01-26,557.2698360981575
2021-01-27,557.3357324655819
2021-01-28,557.3996763925088
2021-01-29,556.9916139428714
2021-02-01,557.3933361167645
2021-02-02,557.1778761383786
2021-02-03,556.7611416592188
2021-02-04,556.8125141785669
2021-02-05,556.5236373309832
2021-02-08,556.4511559814271
2021-02-09,556.4134819963033
2021-02-10,556.3750493458075
2021-02-11,556.5772314996022
2021-02-12,556.4611167802597
2021-02-16,556.4660829581112
2021-02-17,556.1255690461619
2021-02-18,556.2601424886556
2021-02-19,555.6726944916047
2021-02-22,556.1397051683454
2021-02-23,556.1179523887515
2021-02-24,555.9261953829601
2021-02-25,555.2098086093837
2021-02-26,555.5571292473614
2021-03-01,553.8727270038269
2021-03-02,552.9152266914188
2021-03-03,553.4955453845503
2021-03-04,553.4900961402816
2021-03-05,546.6398994098938
2021-03-08,545.5006688381336
2021-03-09,545.4166398237211
2021-03-10,539.1195005907574
2021-03-11,536.5734462896918
2021-03-12,531.52654819929
2021-03-15,528.6320340492254
2021-03-16,522.4257809182394
2021-03-17,509.0184264128225
2021-03-18,508.3266450825792
2021-03-19,508.52396171854883
2021-03-22,508.26992866760355
2021-03-23,508.2413245693247
2021-03-24,503.16213013649804
2021-03-25,488.08200453577865
2021-03-26,487.98610447338996
2021-03-29,487.9432843335953
2021-03-30,463.9694052887954
2021-03-31,438.96426016940404
2021-04-01,427.70726899193835
2021-04-05,425.02210565864897
2021-04-06,420.13495099179335
2021-04-07,419.0572085191976
2021-04-08,416.3685171416513
2021-04-09,415.6140542326635
2021-04-12,416.4233668060319
2021-04-13,416.5156079950614
2021-04-14,412.7016117159914
2021-04-15,409.0714993588666
2021-04-16,406.7591034184752
2021-04-19,396.94647124986983
2021-04-20,272.70151796402195
2021-04-21,272.28701530301464
2021-04-22,270.4140245925063
2021-04-23,246.6844475368091
2021-04-26,244.9607883827975
2021-04-27,245.1381635206136
2021-04-28,243.2698714978528
2021-04-29,241.54644816829915
2021-04-30,241.45535914125028
2021-05-03,242.29924127315786
2021-05-04,241.28689856750066
2021-05-05,239.64181024784875
2021-05-06,239.64988832731655
2021-05-07,239.46413941606028
2021-05-10,239.5870856090877
2021-05-11,239.63967955408822
2021-05-12,237.3997167801143
2021-05-13,232.86322176958754
2021-05-14,229.84227575720678
2021-05-17,229.37952610232736
2021-05-18,229.32333288616044
2021-05-19,205.92841054812277
2021-05-20,204.12617959866964
2021-05-21,203.50590263177415
2021-05-24,202.72398320407692
2021-05-25,203.4071921387736
2021-05-26,202.84531842337108
2021-05-27,204.2904106647411
2021-05-28,203.7724031902733
2021-06-01,203.74493114492589
2021-06-02,203.94405115552934
2021-06-03,203.20299932816243
2021-06-04,201.2006546318002
2021-06-07,201.29961144079024
2021-06-08,196.09981065148602
2021-06-09,194.9605710721056
2021-06-10,193.54952531854906
2021-06-11,193.26170026121665
2021-06-14,193.33362377629075
2021-06-15,193.4847928432839
2021-06-16,193.42616628622304
2021-06-17,192.77209343687667
2021-06-18,193.04046722921967
2021-06-21,193.22807172600324
2021-06-22,193.23453729724213
2021-06-23,193.00472546071398
2021-06-24,192.16398225489417
2021-06-25,193.0384928232706
2021-06-28,192.2762728835401
2021-06-29,191.89655864176837
2021-06-30,191.8499504941091
2021-07-01,192.55005590164683
2021-07-02,192.55896191522004
2021-07-06,192.40628519046885
2021-07-07,192.39083183878293
2021-07-08,191.76640048639936
2021-07-09,189.64575139791845
2021-07-12,189.9579257441373
2021-07-13,189.9352718261494
2021-07-14,189.96716080988517
2021-07-15,189.4797559586512
2021-07-16,189.4421896440679
2021-07-19,189.3866438813519
2021-07-20,186.3608083756209
2021-07-21,186.257546158505
2021-07-22,186.29698640164654
2021-07-23,185.12619511657596
2021-07-26,185.07057590326377
2021-07-27,185.10237906693104
2021-07-28,185.41446541236706
2021-07-29,186.62245740995064
2021-07-30,187.2362161176259
2021-08-02,185.41708181131523
2021-08-03,185.9869494416519
2021-08-04,185.19259491168808
2021-08-05,185.02541228477352
2021-08-06,185.65089879648426
2021-08-09,183.38292987221064
2021-08-10,183.00050472086545
2021-08-11,182.32097581189035
2021-08-12,182.73291443847987
2021-08-13,182.2761477136151
